2026-04-20 00:00:00.478 | DEBUG    | api.runner_loop:_runner_loop:248 | Runner [scalping]: no new bar — skipping tick
2026-04-20 00:00:00.528 | DEBUG    | api.runner_loop:_runner_loop:248 | Runner [day_trading]: no new bar — skipping tick
2026-04-20 00:00:05.549 | DEBUG    | api.runner_loop:_runner_loop:248 | Runner [scalping]: no new bar — skipping tick
2026-04-20 00:00:10.557 | DEBUG    | api.runner_loop:_runner_loop:248 | Runner [scalping]: no new bar — skipping tick
2026-04-20 00:00:15.556 | DEBUG    | api.runner_loop:_runner_loop:248 | Runner [scalping]: no new bar — skipping tick
2026-04-20 00:00:20.582 | DEBUG    | api.runner_loop:_runner_loop:248 | Runner [scalping]: no new bar — skipping tick
2026-04-20 00:00:25.625 | DEBUG    | api.runner_loop:_runner_loop:248 | Runner [scalping]: no new bar — skipping tick
2026-04-20 00:00:30.635 | DEBUG    | api.runner_loop:_runner_loop:248 | Runner [scalping]: no new bar — skipping tick
2026-04-20 00:00:35.661 | DEBUG    | api.runner_loop:_runner_loop:248 | Runner [scalping]: no new bar — skipping tick
2026-04-20 00:00:40.686 | DEBUG    | api.runner_loop:_runner_loop:248 | Runner [scalping]: no new bar — skipping tick
2026-04-20 00:00:45.696 | DEBUG    | api.runner_loop:_runner_loop:248 | Runner [scalping]: no new bar — skipping tick
2026-04-20 00:00:50.704 | DEBUG    | api.runner_loop:_runner_loop:248 | Runner [scalping]: no new bar — skipping tick
2026-04-20 00:00:55.702 | DEBUG    | api.runner_loop:_runner_loop:248 | Runner [scalping]: no new bar — skipping tick
2026-04-20 00:01:00.693 | DEBUG    | api.runner_loop:_runner_loop:248 | Runner [scalping]: no new bar — skipping tick
2026-04-20 00:01:00.695 | DEBUG    | api.runner_loop:_runner_loop:248 | Runner [day_trading]: no new bar — skipping tick
2026-04-20 00:01:00.696 | DEBUG    | api.runner_loop:_runner_loop:248 | Runner [swing]: no new bar — skipping tick
2026-04-20 00:01:05.702 | DEBUG    | api.runner_loop:_runner_loop:248 | Runner [scalping]: no new bar — skipping tick
2026-04-20 00:01:10.695 | DEBUG    | api.runner_loop:_runner_loop:248 | Runner [scalping]: no new bar — skipping tick
2026-04-20 00:01:15.702 | DEBUG    | api.runner_loop:_runner_loop:248 | Runner [scalping]: no new bar — skipping tick
2026-04-20 00:01:20.695 | DEBUG    | api.runner_loop:_runner_loop:248 | Runner [scalping]: no new bar — skipping tick
2026-04-20 00:01:25.705 | DEBUG    | api.runner_loop:_runner_loop:248 | Runner [scalping]: no new bar — skipping tick
2026-04-20 00:01:30.683 | DEBUG    | api.runner_loop:_runner_loop:248 | Runner [scalping]: no new bar — skipping tick
2026-04-20 00:01:35.709 | DEBUG    | api.runner_loop:_runner_loop:248 | Runner [scalping]: no new bar — skipping tick
2026-04-20 00:01:40.734 | DEBUG    | api.runner_loop:_runner_loop:248 | Runner [scalping]: no new bar — skipping tick
2026-04-20 00:01:45.741 | DEBUG    | api.runner_loop:_runner_loop:248 | Runner [scalping]: no new bar — skipping tick
2026-04-20 00:01:50.767 | DEBUG    | api.runner_loop:_runner_loop:248 | Runner [scalping]: no new bar — skipping tick
2026-04-20 00:01:55.777 | DEBUG    | api.runner_loop:_runner_loop:248 | Runner [scalping]: no new bar — skipping tick
2026-04-20 00:02:00.787 | DEBUG    | api.runner_loop:_runner_loop:248 | Runner [scalping]: no new bar — skipping tick
2026-04-20 00:02:00.790 | DEBUG    | api.runner_loop:_runner_loop:248 | Runner [day_trading]: no new bar — skipping tick
2026-04-20 00:02:05.813 | DEBUG    | api.runner_loop:_runner_loop:248 | Runner [scalping]: no new bar — skipping tick
2026-04-20 00:02:10.821 | DEBUG    | api.runner_loop:_runner_loop:248 | Runner [scalping]: no new bar — skipping tick
2026-04-20 00:02:15.847 | DEBUG    | api.runner_loop:_runner_loop:248 | Runner [scalping]: no new bar — skipping tick
2026-04-20 00:02:20.841 | DEBUG    | api.runner_loop:_runner_loop:248 | Runner [scalping]: no new bar — skipping tick
2026-04-20 00:02:25.849 | DEBUG    | api.runner_loop:_runner_loop:248 | Runner [scalping]: no new bar — skipping tick
2026-04-20 00:02:30.877 | DEBUG    | api.runner_loop:_runner_loop:248 | Runner [scalping]: no new bar — skipping tick
2026-04-20 00:02:35.884 | DEBUG    | api.runner_loop:_runner_loop:248 | Runner [scalping]: no new bar — skipping tick
2026-04-20 00:02:40.910 | DEBUG    | api.runner_loop:_runner_loop:248 | Runner [scalping]: no new bar — skipping tick
2026-04-20 00:02:45.934 | DEBUG    | api.runner_loop:_runner_loop:248 | Runner [scalping]: no new bar — skipping tick
2026-04-20 00:02:50.941 | DEBUG    | api.runner_loop:_runner_loop:248 | Runner [scalping]: no new bar — skipping tick
2026-04-20 00:02:55.936 | DEBUG    | api.runner_loop:_runner_loop:248 | Runner [scalping]: no new bar — skipping tick
2026-04-20 00:03:00.929 | DEBUG    | api.runner_loop:_runner_loop:248 | Runner [scalping]: no new bar — skipping tick
2026-04-20 00:03:00.931 | DEBUG    | api.runner_loop:_runner_loop:248 | Runner [day_trading]: no new bar — skipping tick
2026-04-20 00:03:05.937 | DEBUG    | api.runner_loop:_runner_loop:248 | Runner [scalping]: no new bar — skipping tick
2026-04-20 00:03:10.951 | DEBUG    | api.runner_loop:_runner_loop:248 | Runner [scalping]: no new bar — skipping tick
2026-04-20 00:03:15.945 | DEBUG    | api.runner_loop:_runner_loop:248 | Runner [scalping]: no new bar — skipping tick
2026-04-20 00:03:20.955 | DEBUG    | api.runner_loop:_runner_loop:248 | Runner [scalping]: no new bar — skipping tick
2026-04-20 00:03:25.948 | DEBUG    | api.runner_loop:_runner_loop:248 | Runner [scalping]: no new bar — skipping tick
2026-04-20 00:03:30.974 | DEBUG    | api.runner_loop:_runner_loop:248 | Runner [scalping]: no new bar — skipping tick
2026-04-20 00:03:35.998 | DEBUG    | api.runner_loop:_runner_loop:248 | Runner [scalping]: no new bar — skipping tick
2026-04-20 00:03:41.006 | DEBUG    | api.runner_loop:_runner_loop:248 | Runner [scalping]: no new bar — skipping tick
2026-04-20 00:03:46.031 | DEBUG    | api.runner_loop:_runner_loop:248 | Runner [scalping]: no new bar — skipping tick
2026-04-20 00:03:51.041 | DEBUG    | api.runner_loop:_runner_loop:248 | Runner [scalping]: no new bar — skipping tick
2026-04-20 00:03:56.049 | DEBUG    | api.runner_loop:_runner_loop:248 | Runner [scalping]: no new bar — skipping tick
2026-04-20 00:04:01.042 | DEBUG    | api.runner_loop:_runner_loop:248 | Runner [scalping]: no new bar — skipping tick
2026-04-20 00:04:01.044 | DEBUG    | api.runner_loop:_runner_loop:248 | Runner [day_trading]: no new bar — skipping tick
2026-04-20 00:04:06.051 | DEBUG    | api.runner_loop:_runner_loop:248 | Runner [scalping]: no new bar — skipping tick
2026-04-20 00:04:11.076 | DEBUG    | api.runner_loop:_runner_loop:248 | Runner [scalping]: no new bar — skipping tick
2026-04-20 00:04:16.084 | DEBUG    | api.runner_loop:_runner_loop:248 | Runner [scalping]: no new bar — skipping tick
2026-04-20 00:04:21.111 | DEBUG    | api.runner_loop:_runner_loop:248 | Runner [scalping]: no new bar — skipping tick
2026-04-20 00:04:26.120 | DEBUG    | api.runner_loop:_runner_loop:248 | Runner [scalping]: no new bar — skipping tick
2026-04-20 00:04:31.117 | DEBUG    | api.runner_loop:_runner_loop:248 | Runner [scalping]: no new bar — skipping tick
2026-04-20 00:04:36.124 | DEBUG    | api.runner_loop:_runner_loop:248 | Runner [scalping]: no new bar — skipping tick
2026-04-20 00:04:41.133 | DEBUG    | api.runner_loop:_runner_loop:248 | Runner [scalping]: no new bar — skipping tick
2026-04-20 00:04:46.142 | DEBUG    | api.runner_loop:_runner_loop:248 | Runner [scalping]: no new bar — skipping tick
2026-04-20 00:04:51.151 | DEBUG    | api.runner_loop:_runner_loop:248 | Runner [scalping]: no new bar — skipping tick
2026-04-20 00:04:56.159 | DEBUG    | api.runner_loop:_runner_loop:248 | Runner [scalping]: no new bar — skipping tick
2026-04-20 00:05:01.153 | DEBUG    | api.runner_loop:_runner_loop:248 | Runner [scalping]: no new bar — skipping tick
2026-04-20 00:05:01.156 | DEBUG    | api.runner_loop:_runner_loop:248 | Runner [day_trading]: no new bar — skipping tick
2026-04-20 00:05:06.162 | DEBUG    | api.runner_loop:_runner_loop:248 | Runner [scalping]: no new bar — skipping tick
2026-04-20 00:05:11.190 | DEBUG    | api.runner_loop:_runner_loop:248 | Runner [scalping]: no new bar — skipping tick
2026-04-20 00:05:16.201 | DEBUG    | api.runner_loop:_runner_loop:248 | Runner [scalping]: no new bar — skipping tick
2026-04-20 00:05:21.211 | DEBUG    | api.runner_loop:_runner_loop:248 | Runner [scalping]: no new bar — skipping tick
2026-04-20 00:05:26.235 | DEBUG    | api.runner_loop:_runner_loop:248 | Runner [scalping]: no new bar — skipping tick
2026-04-20 00:05:31.247 | DEBUG    | api.runner_loop:_runner_loop:248 | Runner [scalping]: no new bar — skipping tick
2026-04-20 00:05:36.257 | DEBUG    | api.runner_loop:_runner_loop:248 | Runner [scalping]: no new bar — skipping tick
2026-04-20 00:05:41.267 | DEBUG    | api.runner_loop:_runner_loop:248 | Runner [scalping]: no new bar — skipping tick
2026-04-20 00:05:46.274 | DEBUG    | api.runner_loop:_runner_loop:248 | Runner [scalping]: no new bar — skipping tick
2026-04-20 00:05:51.269 | DEBUG    | api.runner_loop:_runner_loop:248 | Runner [scalping]: no new bar — skipping tick
2026-04-20 00:05:56.262 | DEBUG    | api.runner_loop:_runner_loop:248 | Runner [scalping]: no new bar — skipping tick
2026-04-20 00:06:01.287 | DEBUG    | api.runner_loop:_runner_loop:248 | Runner [scalping]: no new bar — skipping tick
2026-04-20 00:06:01.289 | DEBUG    | api.runner_loop:_runner_loop:248 | Runner [day_trading]: no new bar — skipping tick
2026-04-20 00:06:01.291 | DEBUG    | api.runner_loop:_runner_loop:248 | Runner [swing]: no new bar — skipping tick
2026-04-20 00:06:06.311 | DEBUG    | api.runner_loop:_runner_loop:248 | Runner [scalping]: no new bar — skipping tick
2026-04-20 00:06:11.320 | DEBUG    | api.runner_loop:_runner_loop:248 | Runner [scalping]: no new bar — skipping tick
2026-04-20 00:06:16.331 | DEBUG    | api.runner_loop:_runner_loop:248 | Runner [scalping]: no new bar — skipping tick
2026-04-20 00:06:21.308 | DEBUG    | api.runner_loop:_runner_loop:248 | Runner [scalping]: no new bar — skipping tick
2026-04-20 00:06:26.332 | DEBUG    | api.runner_loop:_runner_loop:248 | Runner [scalping]: no new bar — skipping tick
2026-04-20 00:06:31.358 | DEBUG    | api.runner_loop:_runner_loop:248 | Runner [scalping]: no new bar — skipping tick
2026-04-20 00:06:36.367 | DEBUG    | api.runner_loop:_runner_loop:248 | Runner [scalping]: no new bar — skipping tick
2026-04-20 00:06:41.362 | DEBUG    | api.runner_loop:_runner_loop:248 | Runner [scalping]: no new bar — skipping tick
2026-04-20 00:06:46.360 | DEBUG    | api.runner_loop:_runner_loop:248 | Runner [scalping]: no new bar — skipping tick
2026-04-20 00:06:51.352 | DEBUG    | api.runner_loop:_runner_loop:248 | Runner [scalping]: no new bar — skipping tick
2026-04-20 00:06:56.378 | DEBUG    | api.runner_loop:_runner_loop:248 | Runner [scalping]: no new bar — skipping tick
2026-04-20 00:07:01.357 | DEBUG    | api.runner_loop:_runner_loop:248 | Runner [scalping]: no new bar — skipping tick
2026-04-20 00:07:01.359 | DEBUG    | api.runner_loop:_runner_loop:248 | Runner [day_trading]: no new bar — skipping tick
2026-04-20 00:07:06.380 | DEBUG    | api.runner_loop:_runner_loop:248 | Runner [scalping]: no new bar — skipping tick
2026-04-20 00:07:11.390 | DEBUG    | api.runner_loop:_runner_loop:248 | Runner [scalping]: no new bar — skipping tick
2026-04-20 00:07:16.384 | DEBUG    | api.runner_loop:_runner_loop:248 | Runner [scalping]: no new bar — skipping tick
2026-04-20 00:07:21.394 | DEBUG    | api.runner_loop:_runner_loop:248 | Runner [scalping]: no new bar — skipping tick
2026-04-20 00:07:26.418 | DEBUG    | api.runner_loop:_runner_loop:248 | Runner [scalping]: no new bar — skipping tick
2026-04-20 00:07:31.442 | DEBUG    | api.runner_loop:_runner_loop:248 | Runner [scalping]: no new bar — skipping tick
2026-04-20 00:07:36.451 | DEBUG    | api.runner_loop:_runner_loop:248 | Runner [scalping]: no new bar — skipping tick
2026-04-20 00:07:41.445 | DEBUG    | api.runner_loop:_runner_loop:248 | Runner [scalping]: no new bar — skipping tick
2026-04-20 00:07:46.453 | DEBUG    | api.runner_loop:_runner_loop:248 | Runner [scalping]: no new bar — skipping tick
